"STATE","TOTAL_YOUTH","TOTAL_POPULATION","YOUTH_PCT"
"Ladakh","1349","5584","24.16"
"Dadra and Nagar Haveli","1249","5806","21.51"
"Puducherry","3949","24339","16.22"
"Chandigarh","12985","81771","15.88"
"Arunachal Pradesh","5563","35196","15.81"
"Karnataka","258038","1642044","15.71"
"Telangana","234013","1579020","14.82"
"Daman and Diu","216","1462","14.77"
"Jammu and Kashmir","56382","396299","14.23"
"Lakshadweep","160","1126","14.21"
"Tamil Nadu","303009","2133615","14.2"
"Dadra &amp; Nagar Haveli","32","227","14.1"
"Madhya Pradesh","399975","2857840","14"
"Andhra Pradesh","306374","2209459","13.87"
"Manipur","38713","279475","13.85"
"Odisha","140132","1048098","13.37"
"Himachal Pradesh","18729","144493","12.96"
"Mizoram","5168","40726","12.69"
"Delhi","173557","1417547","12.24"
"Haryana","136617","1141997","11.96"
"Nagaland","4150","35429","11.71"
"Gujarat","203755","1778006","11.46"
"Uttarakhand","48315","447801","10.79"
"Andaman and Nicobar Islands","583","5957","9.79"
"Meghalaya","8134","84840","9.59"
"Goa","3180","33785","9.41"
"Uttar Pradesh","767025","8249703","9.3"
"Rajasthan","249000","2747638","9.06"
"Tripura","11248","132626","8.48"
"Assam","81182","972110","8.35"
"Kerala","58768","714302","8.23"
"Pondicherry","578","7060","8.19"
"Chhattisgarh","159319","1945864","8.19"
"Dadra and Nagar Haveli and Daman and Diu","293","3580","8.18"
"Bihar","364334","4631678","7.87"
"Sikkim","1507","19706","7.65"
"andhra pradesh","5","70","7.14"
"Jharkhand","95506","1362093","7.01"
"Punjab","55670","857306","6.49"
"Daman &amp; Diu","40","618","6.47"
"Orissa","1770","27494","6.44"
"West Bengal","230029","3650795","6.3"
"West  Bengal","6","100","6"
"Maharashtra","263730","4784320","5.51"
"Jammu &amp; Kashmir","21","399","5.26"
"ODISHA","2","45","4.44"
"WEST BENGAL","2","68","2.94"
"West Bangal","4","147","2.72"
"Andaman &amp; Nicobar Islands","13","1007","1.29"
"Darbhanga","0","1","0"
"West bengal","0","55","0"
"Jaipur","0","2","0"
"Westbengal","0","86","0"
"Madanapalle","0","2","0"
"odisha","0","20","0"
"Uttaranchal","0","5","0"
"BALANAGAR","0","2","0"
"West Bengli","0","3","0"
"Nagpur","0","1","0"
"WESTBENGAL","0","54","0"
"Chhatisgarh","0","3","0"
"west Bengal","0","15","0"
"Raja Annamalai Puram","0","1","0"
