"STATE","DISTRICTS","TOTAL_POPULATION","AVG_PER_DISTRICT_LOAD"
"Delhi","10002","1417547","141.73"
"Chhattisgarh","33822","1945864","57.53"
"Uttar Pradesh","159659","8249703","51.67"
"Bihar","92309","4631678","50.18"
"Chandigarh","1942","81771","42.11"
"Haryana","27217","1141997","41.96"
"Manipur","6902","279475","40.49"
"Madhya Pradesh","73256","2857840","39.01"
"Jharkhand","37736","1362093","36.1"
"Rajasthan","84865","2747638","32.38"
"Maharashtra","154174","4784320","31.03"
"West Bengal","156229","3650795","23.37"
"Uttarakhand","21604","447801","20.73"
"Jammu and Kashmir","19265","396299","20.57"
"Gujarat","92112","1778006","19.3"
"Dadra and Nagar Haveli","305","5806","19.04"
"Telangana","84837","1579020","18.61"
"Punjab","47029","857306","18.23"
"Meghalaya","5058","84840","16.77"
"Assam","58926","972110","16.5"
"Tripura","8423","132626","15.75"
"Odisha","87470","1048098","11.98"
"Tamil Nadu","187703","2133615","11.37"
"Andhra Pradesh","194860","2209459","11.34"
"Karnataka","146095","1642044","11.24"
"Mizoram","3627","40726","11.23"
"Puducherry","2578","24339","9.44"
"Nagaland","3783","35429","9.37"
"Arunachal Pradesh","4461","35196","7.89"
"Dadra and Nagar Haveli and Daman and Diu","492","3580","7.28"
"Kerala","100809","714302","7.09"
"Ladakh","828","5584","6.74"
"Sikkim","3058","19706","6.44"
"Goa","5623","33785","6.01"
"Himachal Pradesh","26672","144493","5.42"
"Andaman and Nicobar Islands","1147","5957","5.19"
"Daman and Diu","389","1462","3.76"
"Pondicherry","2075","7060","3.4"
"Daman &amp; Diu","252","618","2.45"
"Dadra &amp; Nagar Haveli","94","227","2.41"
"Lakshadweep","499","1126","2.26"
"Orissa","13113","27494","2.1"
"Andaman &amp; Nicobar Islands","483","1007","2.08"
"West bengal","35","55","1.57"
"andhra pradesh","49","70","1.43"
"west Bengal","11","15","1.36"
"West  Bengal","75","100","1.33"
"ODISHA","34","45","1.32"
"WEST BENGAL","52","68","1.31"
"West Bangal","120","147","1.23"
"odisha","17","20","1.18"
"WESTBENGAL","46","54","1.17"
"Jammu &amp; Kashmir","344","399","1.16"
"Westbengal","75","86","1.15"
"Uttaranchal","5","5","1"
"BALANAGAR","2","2","1"
"Madanapalle","2","2","1"
"Jaipur","2","2","1"
"Darbhanga","1","1","1"
"West Bengli","3","3","1"
"Raja Annamalai Puram","1","1","1"
"Nagpur","1","1","1"
"Chhatisgarh","3","3","1"
