"DISTRICT","STATE","CHILDREN","WORKING_AGE","DEPENDENTS_PER_ADULT"
"Kangra","Himachal Pradesh","25","1","25"
"Tiruchirappalli","Tamil Nadu","20","1","20"
"Tiruchirappalli","Tamil Nadu","20","1","20"
"Ahmadnagar","Maharashtra","19","1","19"
"Tirunelveli","Tamil Nadu","18","1","18"
"Ahmadnagar","Maharashtra","16","1","16"
"Ahmadnagar","Maharashtra","16","1","16"
"Vellore","Tamil Nadu","15","1","15"
"Vellore","Tamil Nadu","15","1","15"
"Ananthapur","Andhra Pradesh","27","2","13.5"
"Tiruchirappalli","Tamil Nadu","13","1","13"
"Ramban","Jammu and Kashmir","12","1","12"
"Ramban","Jammu and Kashmir","12","1","12"
"Tiruvannamalai","Tamil Nadu","11","1","11"
"Chittoor","Andhra Pradesh","11","1","11"
"Perambalur","Tamil Nadu","11","1","11"
"Perambalur","Tamil Nadu","11","1","11"
"Tiruvannamalai","Tamil Nadu","11","1","11"
"Perambalur","Tamil Nadu","10","1","10"
"Chittoor","Andhra Pradesh","10","1","10"
"Thiruvarur","Tamil Nadu","10","1","10"
"Thiruvarur","Tamil Nadu","10","1","10"
"Virudhunagar","Tamil Nadu","10","1","10"
"Perambalur","Tamil Nadu","10","1","10"
"Pudukkottai","Tamil Nadu","29","3","9.67"
"Pudukkottai","Tamil Nadu","29","3","9.67"
"Karaikal","Puducherry","9","1","9"
"Ananthapur","Andhra Pradesh","9","1","9"
"Villupuram","Tamil Nadu","9","1","9"
"Srikakulam","Andhra Pradesh","9","1","9"
"Kurnool","Andhra Pradesh","9","1","9"
"Mahabubnagar","Telangana","9","1","9"
"Ananthapur","Andhra Pradesh","9","1","9"
"Dharmapuri","Tamil Nadu","9","1","9"
"Ananthapuramu","Andhra Pradesh","9","1","9"
"Ananthapur","Andhra Pradesh","9","1","9"
"Tirunelveli","Tamil Nadu","9","1","9"
"Mahabubnagar","Telangana","9","1","9"
"Karaikal","Puducherry","9","1","9"
"Srikakulam","Andhra Pradesh","9","1","9"
"Kurnool","Andhra Pradesh","9","1","9"
"Ananthapur","Andhra Pradesh","17","2","8.5"
"Tirunelveli","Tamil Nadu","8","1","8"
"Thanjavur","Tamil Nadu","8","1","8"
"Vizianagaram","Andhra Pradesh","8","1","8"
"Ananthapur","Andhra Pradesh","8","1","8"
"Thanjavur","Tamil Nadu","8","1","8"
"Guntur","Andhra Pradesh","8","1","8"
"Khammam","Andhra Pradesh","8","1","8"
"Ananthapur","Andhra Pradesh","8","1","8"
"Ananthapur","Andhra Pradesh","8","1","8"
"Medak","Telangana","8","1","8"
"Guntur","Andhra Pradesh","8","1","8"
"Tirunelveli","Tamil Nadu","8","1","8"
"Ananthapur","Andhra Pradesh","8","1","8"
"Villupuram","Tamil Nadu","8","1","8"
"Khammam","Andhra Pradesh","8","1","8"
"Thiruvarur","Tamil Nadu","30","4","7.5"
"Tiruvannamalai","Tamil Nadu","7","1","7"
"Tiruchirappalli","Tamil Nadu","7","1","7"
"Vellore","Tamil Nadu","7","1","7"
"Thoothukkudi","Tamil Nadu","7","1","7"
"Ananthapur","Andhra Pradesh","7","1","7"
"Ananthapuramu","Andhra Pradesh","7","1","7"
"Villupuram","Tamil Nadu","7","1","7"
"Villupuram","Tamil Nadu","7","1","7"
"Khorda","Odisha","7","1","7"
"Ariyalur","Tamil Nadu","7","1","7"
"Balod","Chhattisgarh","7","1","7"
"Kanniyakumari","Tamil Nadu","7","1","7"
"Mahabubnagar","Telangana","7","1","7"
"Ananthapur","Andhra Pradesh","7","1","7"
"Karnal","Haryana","7","1","7"
"Thiruvarur","Tamil Nadu","7","1","7"
"Kangra","Himachal Pradesh","7","1","7"
"Karur","Tamil Nadu","7","1","7"
"Visakhapatnam","Andhra Pradesh","14","2","7"
"Ariyalur","Tamil Nadu","7","1","7"
"Ananthapur","Andhra Pradesh","7","1","7"
"Ananthapuramu","Andhra Pradesh","7","1","7"
"Cooch Behar","West Bengal","35","5","7"
"Ananthapur","Andhra Pradesh","7","1","7"
"Ariyalur","Tamil Nadu","7","1","7"
"Villupuram","Tamil Nadu","7","1","7"
"Vellore","Tamil Nadu","7","1","7"
"Villupuram","Tamil Nadu","7","1","7"
"Balod","Chhattisgarh","7","1","7"
"Tirunelveli","Tamil Nadu","21","3","7"
"Karnal","Haryana","7","1","7"
"Villupuram","Tamil Nadu","7","1","7"
"K.v. Rangareddy","Telangana","7","1","7"
"Pudukkottai","Tamil Nadu","7","1","7"
"Madurai","Tamil Nadu","7","1","7"
"Khorda","Odisha","7","1","7"
"Ariyalur","Tamil Nadu","20","3","6.67"
"Ariyalur","Tamil Nadu","20","3","6.67"
