"STATE","TOTAL_CHILDREN","WORKING_POPULATION","CHILDREN_PER_100_ADULTS"
"Ladakh","1349","4235","31.85"
"Dadra and Nagar Haveli","1249","4557","27.41"
"Puducherry","3949","20390","19.37"
"Chandigarh","12985","68786","18.88"
"Arunachal Pradesh","5563","29633","18.77"
"Karnataka","258038","1384006","18.64"
"Telangana","234013","1345007","17.4"
"Daman and Diu","216","1246","17.34"
"Jammu and Kashmir","56382","339917","16.59"
"Lakshadweep","160","966","16.56"
"Tamil Nadu","303009","1830606","16.55"
"Dadra &amp; Nagar Haveli","32","195","16.41"
"Madhya Pradesh","399975","2457865","16.27"
"Andhra Pradesh","306374","1903085","16.1"
"Manipur","38713","240762","16.08"
"Odisha","140132","907966","15.43"
"Himachal Pradesh","18729","125764","14.89"
"Mizoram","5168","35558","14.53"
"Delhi","173557","1243990","13.95"
"Haryana","136617","1005380","13.59"
"Nagaland","4150","31279","13.27"
"Gujarat","203755","1574251","12.94"
"Uttarakhand","48315","399486","12.09"
"Andaman and Nicobar Islands","583","5374","10.85"
"Meghalaya","8134","76706","10.6"
"Goa","3180","30605","10.39"
"Uttar Pradesh","767025","7482678","10.25"
"Rajasthan","249000","2498638","9.97"
"Tripura","11248","121378","9.27"
"Assam","81182","890928","9.11"
"Kerala","58768","655534","8.96"
"Pondicherry","578","6482","8.92"
"Chhattisgarh","159319","1786545","8.92"
"Dadra and Nagar Haveli and Daman and Diu","293","3287","8.91"
"Bihar","364334","4267344","8.54"
"Sikkim","1507","18199","8.28"
"andhra pradesh","5","65","7.69"
"Jharkhand","95506","1266587","7.54"
"Punjab","55670","801636","6.94"
"Daman &amp; Diu","40","578","6.92"
"Orissa","1770","25724","6.88"
"West Bengal","230029","3420766","6.72"
"West  Bengal","6","94","6.38"
"Maharashtra","263730","4520590","5.83"
"Jammu &amp; Kashmir","21","378","5.56"
"ODISHA","2","43","4.65"
"WEST BENGAL","2","66","3.03"
"West Bangal","4","143","2.8"
"Andaman &amp; Nicobar Islands","13","994","1.31"
"Darbhanga","0","1","0"
"West bengal","0","55","0"
"Jaipur","0","2","0"
"Westbengal","0","86","0"
"Madanapalle","0","2","0"
"odisha","0","20","0"
"Uttaranchal","0","5","0"
"BALANAGAR","0","2","0"
"West Bengli","0","3","0"
"Nagpur","0","1","0"
"WESTBENGAL","0","54","0"
"Chhatisgarh","0","3","0"
"west Bengal","0","15","0"
"Raja Annamalai Puram","0","1","0"
