"STATE","DISTRICT","DISTRICT_TOTAL","CONTRIBUTION_PCT"
"Maharashtra","Ahmadnagar","11720","3.22"
"Gujarat","Ahmedabad","18513","6.73"
"Gujarat","Amreli","4173","1.52"
"Assam","Baksa","3584","1.59"
"Uttar Pradesh","Balrampur","12145","1.21"
"Uttar Pradesh","Banda","10458","1.04"
"Maharashtra","Beed","10124","2.78"
"Karnataka","Bengaluru","30657","13.96"
"Bihar","Bhagalpur","20596","3.47"
"Chhattisgarh","Bijapur","6616","6.63"
"Uttar Pradesh","Budaun","15272","1.52"
"West Bengal","Cooch Behar","10570","2.86"
"West Bengal","Darjeeling","7237","1.96"
"Rajasthan","Dholpur","8464","2.47"
"Chhattisgarh","Durg","3913","3.92"
"Bihar","East Champaran","28779","4.85"
"Jharkhand","East Singhbhum","7940","5.17"
"Jharkhand","Hazaribagh","6004","3.91"
"Punjab","Hoshiarpur","4096","5.4"
"Rajasthan","Jaipur","30567","8.92"
"West Bengal","Jhargram","943",".26"
"Telangana","K.v. Rangareddy","17010","13.18"
"Bihar","Kaimur (Bhabua)","7622","1.28"
"Assam","Kamrup Metro","5875","2.61"
"Punjab","Kapurthala","3682","4.85"
"Madhya Pradesh","Katni","10786","2.2"
"Tamil Nadu","Madurai","9716","4.49"
"Uttar Pradesh","Muzaffarnagar","11761","1.17"
"Karnataka","Mysuru","4301","1.96"
"Odisha","Nabarangapur","6173","5.28"
"Gujarat","Navsari","2706",".98"
"Jharkhand","Pakur","6851","4.46"
"Maharashtra","Pune","31245","8.57"
"Jharkhand","Ranchi","13902","9.05"
"Madhya Pradesh","Sagar","13752","2.81"
"Uttar Pradesh","Shamli","8038",".8"
"Uttar Pradesh","Siddharthnagar","13784","1.37"
"Rajasthan","Sirohi","10572","3.08"
"Gujarat","Tapi","2177",".79"
"Assam","Tinsukia","8194","3.64"
"Madhya Pradesh","Vidisha","10255","2.1"
"Assam","West Karbi Anglong","1872",".83"
"Karnataka","Bangalore Rural","2605","1.19"
"Uttar Pradesh","Hathras","6418",".64"
"Kerala","Kollam","4988","6.75"
"Uttar Pradesh","Kushinagar","10436","1.04"
"Kerala","Malappuram","14469","19.57"
"Uttar Pradesh","Prayagraj","2844",".28"
"Bihar","Araria","15127","2.55"
"Karnataka","Bengaluru Rural","2790","1.27"
"West Bengal","Coochbehar","4410","1.19"
"Uttar Pradesh","Farrukhabad","5763",".57"
"Uttar Pradesh","Firozabad","12052","1.2"
"Jharkhand","Khunti","2583","1.68"
"West Bengal","Medinipur West","645",".17"
"Uttar Pradesh","Siddharth Nagar","4341",".43"
"Bihar","Bhojpur","12979","2.19"
"Karnataka","Bidar","4817","2.19"
"Jharkhand","Giridih","14094","9.18"
"Rajasthan","Hanumangarh","4860","1.42"
"Uttar Pradesh","Kannauj","6522",".65"
"Uttar Pradesh","Kasganj","6225",".62"
"Nagaland","Kiphire","881","5.7"
"Maharashtra","Mumbai","14353","3.94"
"Tripura","North Tripura","1462","13.28"
"Bihar","Samastipur","18501","3.12"
"Madhya Pradesh","Sehore","6447","1.32"
"Tripura","Sepahijala","1699","15.43"
"Maharashtra","Ahmed Nagar","329",".09"
"Kerala","Alappuzha","3479","4.7"
"Uttar Pradesh","Allahabad","12910","1.29"
"Andhra Pradesh","Anakapalli","524",".42"
"Odisha","Angul","2948","2.52"
"Odisha","Anugul","141",".12"
"Bihar","Aurangabad(bh)","103",".02"
"Assam","Bajali","26",".01"
"Chhattisgarh","Bemetara","2677","2.68"
"Karnataka","Chamarajanagar","243",".11"
"Manipur","Chandel","754","5.69"
"Arunachal Pradesh","Changlang","790","18.63"
"Andhra Pradesh","Chittoor","7944","6.39"
"Orissa","Cuttack","317","7.78"
"Madhya Pradesh","Dindori","2618",".54"
"Andhra Pradesh","East Godavari","7504","6.04"
"Arunachal Pradesh","East Siang","165","3.89"
"Uttar Pradesh","Faizabad","6768",".68"
"Punjab","Ferozepur","1357","1.79"
"Karnataka","Gadag *","144",".07"
"Maharashtra","Gadchiroli","2349",".64"
"Odisha","Gajapati","1965","1.68"
"Orissa","Gajapati","8",".2"
"Jharkhand","Garhwa","5971","3.89"
"Uttarakhand","Garhwal","52",".14"
"Maharashtra","Gondiya *","54",".01"
"Rajasthan","Jhunjhunu","303",".09"
"Ladakh","Kargil","492","79.74"
"Haryana","Karnal","3907","4.11"
"Chhattisgarh","Khairagarh Chhuikhadan Gandai","233",".23"
"Telangana","Khammam","3819","2.96"
"Orissa","Koraput","119","2.92"
"Jammu and Kashmir","Kupwara","2795","6.01"
"Andhra Pradesh","Kurnool","11516","9.27"
"Orissa","Malkangiri","46","1.13"
"Madhya Pradesh","Mandla","4859",".99"
"Andhra Pradesh","Medak","1376","1.11"
"Chhattisgarh","Mungeli","2790","2.8"
"West Bengal","Murshidabad","34968","9.47"
"Andaman and Nicobar Islands","Nicobar","74","18.97"
"West Bengal","North Dinajpur","338",".09"
"West Bengal","Purulia","775",".21"
"Uttar Pradesh","Rae Bareli","9545",".95"
"Telangana","Sangareddy","2630","2.04"
"Uttar Pradesh","Sant Ravidas Nagar","4316",".43"
"Uttar Pradesh","Sant Ravidas Nagar Bhadohi","79",".01"
"Jharkhand","Seraikela-Kharsawan","3290","2.14"
"Karnataka","Shimoga","2222","1.01"
"Haryana","Sirsa","3190","3.35"
"Andhra Pradesh","Sri Sathya Sai","901",".73"
"Arunachal Pradesh","Tawang","153","3.61"
"Uttarakhand","Tehri Garhwal","2722","7.37"
"Tamil Nadu","Theni","3417","1.58"
"Tamil Nadu","Tiruvallur","11302","5.22"
"Uttarakhand","Udham Singh Nagar","5930","16.05"
"Andhra Pradesh","Visakhapatnam","7910","6.37"
"Telangana","Warangal Urban","651",".5"
"Maharashtra","Wardha","1891",".52"
"Andhra Pradesh","West Godavari","5752","4.63"
"West Bengal","West Midnapore","2150",".58"
"Arunachal Pradesh","West Siang","186","4.39"
"Daman &amp; Diu","Diu","12","57.14"
"Karnataka","Haveri *","116",".05"
"Sikkim","Namchi","23","1.06"
"Andaman &amp; Nicobar Islands","Nicobars","1",".9"
"West Bengal","Medinipur","28",".01"
"Chandigarh","Rupnagar","3",".11"
"West Bengal","East Midnapur","1","0"
"Manipur","Pherzawl","10",".08"
"Orissa","Debagarh","7",".17"
"West Bengal","HOOGHLY","2","0"
"West Bengal","South 24 parganas","2","0"
"Orissa","Nuapada","2",".05"
"WESTBENGAL","HOOGHLY","1","100"
"Rajasthan","Didwana-Kuchaman","2","0"
"Uttar Pradesh","Aligarh","25851","2.58"
"Punjab","Amritsar","9546","12.58"
"Uttar Pradesh","Bahraich","38897","3.88"
